1;ANGAITZA;8;Dólmen corto cerrado;Concejo de Beorburu. Ayuntamiento del Valle de Juslapeña;Cerca del alto de Angaitza;"A 15 minutos desde Beorburu, en dirección Norte
Hoja cartográfica Nº 115-12";Ulzama#0001_TEX_25.pdf#;4753750;603400;860;0.00544260978502137,-7.44615386328269;sábado, 15 de abril de 1905;P. Urra;"Túmulo circular poco determinable. Cámara de recinto rectangular, más bien trapecial por tender las paredes a cerrarse a la entrada. Cubierta desplazada al realizar la cata de reconocimiento, por lo que se encuentra fragmentada.
Documentado por tres diapositivas, en las que debido a la maleza tapa la conformación del monumento.

?  W.E.  10 m ?
      N. S.  11m 
      Altura aprox. 1m
      Tierra y piedra
                   Viane tiene medidas las losas
Hoy se ven
Losa de cabecera orientada a 15?
Losa N (W.E.) orientada a 120?
Losa S (W.E.) orientada a 77?
6 piedras ( A6 x 40)            al E.
1 piedrra (1 x 70) 
1 piedra  (1,3 x 1,7)         E. enterradas
1 piedra  ?                         E. enterradas
1 piedra 1 x 1 a SE  (cierre cámara ?)";En 1932, se realizó una cata de reconocimiento, por P. Urra;"P. Urra se lo comunicón a J.M. de Barandiarán y la cata de reconocimiento dio restos humanos cuyo paradero es desconocido.
Este dómen tiene posibilidades de ser reconstruido, colocándole la tapa . Hay que levantar un croquis y medir las locas.

Topónimo ARANGAITZ  en mapa 1/25.000     115-1

Bibliografía: J.M. de Barandiarán. Catálogo des stations. 1946
J.M. de Barandiarán . Hombre prehistórico. 1953";;Bloc 12. Atez Ulzama;Croquis;0001_DIB_1.pdf;Fotos;0001_FOT_2.pdf;;;;;;;;;;;;
12;AUZALDIA GAÑE;2;Túmulo;;;Hoja cartográfica Nº: 115-2/D. Itinerario nº 4.;;604710;4759030;732;42.9767238075956,-1.71583879323115;domingo, 7 de mayo de 1905;J. Elosegui;"Túmulo circular de 22m de diámetro y 1,3m de altura de piedras.
Cráter central sin losas de cámara.
Calizas margosas.
Existe hoy un montón de piedras y tierra revueltos, sin aspecto de túmulo funerarios y de medidas indefinidas.
Poco más adelante hay un túmulo natural, que coincide con las medidas de la descripción, actualmente no tiene ningún rasgo de dolmen, estando cubierto totalmente de maleza, parece que las piedras amontonadas pudieron pertenecer a este túmulo, ya que  se encuentra en lado sur, con un corte plano.
Más debajo de esta zona, en un campo trabajado, exiten varios montones de piedras recogidas y un túmulo de características parecidas a la descripción.";No se conoce excavación;;;Bloc 12. Atez Ulzama;;;;;;;;;;;;;;;;
13;MAXKAR;;;;;No incluye ningún itinerario , debido a que es imposible verlo en la actualidad, dado que la maleza que existe impide entrar en el pequeño bosque de robles.;;;;;;domingo, 7 de mayo de 1905;J. Elosegui;"Túmulo circular de 60m?  de diámetro y 2m de altura. 
Actualmente poblado de robles.
Calizas del terreno.";;;;Bloc 12. Atez Ulzama;;;;;;;;;;;;;;;;
14;BEUNZA;1;Dolmen;;;Itinerario nº 4.;;604000;4759100;755;42.977451358419,-1.7245310744748;domingo, 7 de mayo de 1905;J. Elosegui;"Túmulo circular de 16m de diámetro y 1,5m de altura. Cámara de 5 losas.
Orientación E-W según Tomás López Sellés.
Margas sobre terrenos del flysch cretácico.
En la actualidad en la zona donde está ubicado no se puede penetrar debido a la abundancia de maleza que existe en el bosque de pinos donde se encuentra, por lo que no pudo ser fotografiado.";No se conoce excavación;;;Bloc 12. Atez Ulzama;Croquis;0014_DIB_7.pdf;;;;;;;;;;;;;;
15;AUZALDIA;1;Dolmen;;;Itinerario nº 4. Hoja cartográfica Nº: 115-2/D;;604650;4759050;735;42.9769121171026,-1.7165707062227;domingo, 7 de mayo de 1905;J. Elosegui;"Dolmen poligonal.
Túmulo circular de 15m de diámetro y 1,2m de altura, de piedras. Cámara de cinco losas con recinto poligonal abierto. Sin cubierta. Orientación a 90? según J. Elosegui.
Flysch cretácico según Lamare.
En la actualidad han desaparecido ltodas las losas, viendose solo el hueco rectangular rellenado de piedras pequeñas rotas.
El túmulo ha perdido todo aspecto o vestigios de tal.";;;;Bloc 12. Atez Ulzama;;;;;;;;;;;;;;;;
16;ARAÑOTZ - SANTA LUCIA;1;Dolmen;Iraizoz;Hoja cartográfica Nº: 115-3/A;"Nº 2-A
A unos setenta metros al N. de la ermita de Santa Lucía en Iraizoz, entre dicha ermita y la cumbre de Arañotz (838m)";;609260;4760170;818;42.9863472675472,-1.65982937266196;;;"Se conserva un pronunciado galgal de 11/12m de diámetro y una altura de 1,5m al S. En cambio, por el N. destaca poco.
Hoyo central bastante acusado, no apreciándose losas, aunque sí piedras sueltas.
En la cota 791, gran bloque de piedra partido en dos, aunque bastante informe.
Altitud: 800m
Coordenadas en la hoja Gulina 115: 2? 01´ 33´´  de longitud y 12? 59´ 02´´ de latitud N.";;57-B/I;;Bloc 12. Atez Ulzama;;;;;;;;;;;;;;;;
17;BURDINDOGI S.;1;Dolmen corto ?;;;"5-B   Hoja cartográfica Nº: 115 A/B y 90-16D
Volviendo a la pista desde el domen Agiñeta, tomamos la dirección E. La pista se divide en tres ramales. Seguir por la más ancha y mejor conservada que asciende suavemente por la ladera N. del contrafuerte. Nueva bifurcación a 1062m y seguidamente se alcanza la divisoria con la regata Igirena. Pequeño raso herboso con juncos y helechos. Cambio de vertiente. Ascenso por la ladera S. del monte Eride. Llegando al collado Iturriotz o Iturriko lepo a 1112m en la divisoria con la regata Zuriain. Bajo hayedo no se ve nada. Se separan tres pistas: por la que seue al NE llega el camino de Sallestur. La del frente termina pronto, girar al SE por el ancho camino que recorre la divisoria. Hayedo más retorcido, al O. claro en el bosque.
Hacia los 1130m. Losas y charcos en el camino. Por la decha llega del SO. El camino del collado Gerendiain, a escasos metros del mismo queda la fuente. Empieza el camino más acusado. Camino definido y desdoblado. A la izda corro de brezo, despejado desde que se ve la cresta Eride-Zurriain. Suave ascenso bajo hayedo retorcido.
A los 1235m aprox. En el bosque de hayas, tangente a la roca que aflora en lo más alto del monte Burdindogi, a 1241m. Implantado a 150m de la ermita, a 30? de ella. Hay un mojón a 100m a 150?.";;618050;4762050;1235;43.0019584474454,-1.55164720083253;martes, 2 de octubre de 2440;Francisco Ondarra;"Túmulo circular de 13m de ? y 1m de altura, de piedra recubierta de musgo.
5 Losas desordenadas. No se aprecia cráter definido.";No se conoce excavación;;;Bloc 12. Atez Ulzama;Croquis;17_DIB_8.pdf;;;;;;;;;;;;;;
18;BURDINDOGI N.;;;;;"5-B   Hoja cartográfica Nº: 115-4 B y 90-16 D
Tras el itinerario del Burdindogi S.: por la izda reaparece el camino y pasa junto a un charco a los 1218m de altitud, vemos el mojon con iniciales A/Y en zona llana. Ermita de la Santa Cruz de Burdindogi. Pozo-fuente a unos 30m al W. Hayas. Prisma cuadrangular truncado metálico con un medallón con la efigie de Michel Buzunariz y la inscripción ""A la memoria del amigo / el 30 de abril de 1972. En los Picos de Europa.""
El dolmen Burdindogi N. está situado a 40m y a 320? del anterior.
Un sendero transcurre tangente al galgal por su costado.";;618090;4762050;1235;43.0019522369505,-1.55115659516515;lunes, 29 de julio de 2441;Francisco Ondarra;"F. Ondarra no asegura que sea un dolmen. 
Túmulo de 10m ? y 0,8m de altura, de piedra u tierra cubiertas de musgo.
Se aprecia una ligera concavidad o cráter central. No se ven losas ni fragmentos de las mismas.
Areniscas del terreno.";No se conoce;;;Bloc 12. Atez Ulzama;;;;;;;;;;;;;;;;
19;MUGASORO;1;Dolmen corto ?;Elzaburu;"Nº 26     Hoja cartográfica Nº: 90-10 D
Longitud: 1? 58´ 32´´       Latitud: 43? 03´ 08´´";"A hora y cuarto desde lel pueblo de Elzaburu, subiendo por el camino que lleva la collado de Mugasoro por Zapiturrieta, en la proximidad de la cota 843m  A unos 10´ del mojón que da nombre al paraje.
Divisoria atlántico-mediterránea, a 840m s.n.m.";;605000;4767630;840;43.0541078049987,-1.71066411364556;jueves, 4 de mayo de 1905;J. Elosegui;"Túmulo circular de 12m de diámetrp y cámara reducida a dos losas que forman ángulo agudo, siendo la E. la cabecera y la N. una pared. 
Orientación a 80? según J. Elosegui
Calizas del terreno";No se conoce;Munibe 54-6    E.270;;Bloc 12. Atez Ulzama;2 Croquis;0019_DIB_9.pdf;Fotos;0019_FOT_10.pdf;;;;;;;;;;;;
20;GANBELETA;1;Dolmen. Es dudoso su carácter dolménico;Elzaburu;Long. 1? 59´ 27´´  Lat. 43? 02´ 42´´;En un amplio y llano collao situado a 400m al SE. De la cota 938m llamada Kulpittu, a 10´ de Arpegi en dirección NW. a 815m  s.n.m.;;606160;4766920;870;43.0475545577698,-1.69655899300651;miércoles, 10 de mayo de 1905;J. Elosegui;"Túmulo circular desfigurado por las hayas. 
Cámara reducida a una losa, orientada a 130?
En 1934 fue revisado por vecinos de Elzaburu practicando una zanja en derrredor de la losa, sin hallar nada. Luego se colocó la losa en su posición original.";No se conoce;No se distingue túmulo;;Bloc 12. Atez Ulzama;Mapa;0020_MAP_11.pdf;Fotos;0020_FOT_12.pdf;;;;;;;;;;;;
21;ARPEGI ULZAMA;7;Dolmen corto abierto;Elzaburu;"Sobre un pequeño collado, entre dos cotas cercanas, próximo al dolmen de Ganbeleta.
Long. 1? 59´ 45´´   Lat. 43? 02´ 30´´";A hora y media desde Alzoz siguiendo una pista forestal hacia Larremiar (camino de Larremiar) se llega al dolmen, 820m s.n.m.;;606715;4766520;859;43.0438756882469,-1.68982304829629;martes, 16 de mayo de 1905;T. López Sellés;"Túmulo circular de 13m de ?, desfigurado y rebajado, acusándose más la prominencia hacia el S.
Cámara de 3 losas con recinto rectangular, ligeramente desfigurado por la presión de la cubierta sobre una losa lateral desplazada. 
Orientación al E.";;En visita realizada el 1998/03/22 se constata que la losa O. , cabecera de la cámara, ha caído al suelo. En los alrededores se observanevidencias de haber sacado madera recientemente.;;Bloc 12. Atez Ulzama;Croquis;0021_DIB_13.pdf;Fotos;0021_FOT_14.pdf;;;;;;;;;;;;
22;AIZTALUZ;7;Dolmen corto abierto;Elzaburu;"En una cota al SE. del dolmen de Arpegui Ulzama.
Long. 2? 00´00´´    Lat. 43? 02´ 25´´   Alt. 843m";Se advierte sobre el terreno indicios de sendas o caminos que descienden al camino más marcado que desde Maiterne se dirige a Arpegi y Ganbeleta. Este camino queda a la izquierda a 820m s.n.m.;;607030;4766335;843;43.0421658631979,-1.68599222891339;martes, 16 de mayo de 1905;T. López Sellés;"Túmulo circular rebajado.
Cámara de tres losas, una de las laterales inclinada hacia el exterior de recinto rectangular, sin cubierta.
Orientación al E.";No se conoce;;;Bloc 12. Atez Ulzama;Croquis;0022_DIB_15.pdf;Fotos;0022_FOT_16.pdf;;;;;;;;;;;;
23;LARREMIAR;2;Túmulo;Urroz de Santesteban;"Sobre un collado al E. de la cota 945m (Elkarrikoa)
Long.  1? 59´ 35´´       Lat. 43? 03´ 25´´";"Junto y a la derecha del camino que a Larremiar, 1 km antes de llegar a la fuente, al S. queda la loma sobre la que se hallan los dólmenes de Ganbaleta, Arpegi y Aiztaluz, a 920m s.n.m.
Ruta 26-4  Mapa 90-10 B";;606330;4768025;920;43.0574787136281,-1.6942611914493;martes, 16 de mayo de 1905;T. López Sellés;"Túmulo circular de 8m ? y de 0,70m de altura, de piedras.
En el sector S., un cráter cuadrado sin rastro de losas de cámara.";No se conoce;"Túmulo de anillo de unos 17m de diámetro y 0,5, de altura.
Descripción que no coincide en absoluto con la realizada por López Sellés

Munibe 54-52";;Bloc 12. Atez Ulzama;Croquis;0023_DIB_17.pdf;;;;;;;;;;;;;;
24;PITXORTAR;7;Dolmen corto abierto;Urroz de Santesteban;"A varios cientos de metros del dolmen de Mugasoro en dirección WNW., a 80m al N. de la cota 882m, en medio de un hayedo, a 878, s.n.m.
Long. 1º 58´´ 05´´   Lat 43º 03´ 14´´";;;;;;;domingo, 7 de mayo de 1905;J. Elosegui;Túmulo circular de 12m de ?  y 1,7m de altura. Cámara de 4 losas y cubierta al parecer in situ, con recinto rectangular. Orientación a 90º.;No se conoce;;;Bloc 12. Atez Ulzama;Fotos;0024_FOT_18.pdf;;;;;;;;;;;;;;
25;KOPA GAIN;3;Indefinido  (derruido);Arraiz - Ulzama;"En el puerto de Velate, a unos 400m de la fuente
Hoja cartográfica Nº: 90-15";Ulzama - Belate;Ulzama - Belate#0025_TEX_21.pdf#;611420;4765260;810;43.031856790457,-1.63232589435663;lunes, 10 de febrero de 2442;Francisco Ondarra;"Conserva suficientes rasgos definidos, como el túmulo de tierra y piedras con una altura de 1m visto del W.
Conserva también dos losas en línea, orientadas a 160º en un hoyo de unos 2m de ancho y 0,5m de profundidad al N.
Las losas con un espacio entre sí miden:
A.- Alto 0,9m, largo: 1,3m en la base y  0,6m en la parte superior, grosor 0,17, a 0,25m 
B.- Alto 0,32m, largo 0,2m, grosor 0,1m.
El conjunto está en un bosque de hayas con mucha hoja desprendida.";No se conoce;"Aunque no se conoce excavación, sí se observa que este monumento, al igual que otros muchos de Navarra, ha sido profanado por los buscadores de tesoros.
Con fecha 1987/10/03, le fue colocado un hito señalizador por el grupo de socios Gorosti.
El topónimo correspondiente, tiene otras formas, por ejemplo, el P. Fco. Ondarra lo dio a conocer como Koarain. Se ha marcado como Kopa Gain por ser la forma que más se conoce entre los lugareños.";;Bloc 12. Atez Ulzama;Croquis;0025_DIB_19.pdf;Fotos;0025_FOT_20.pdf;;;;;;;;;;;;
26;GILTZURRIN HARRIE;4;Sin clasificar (derruido);Arraiz Ulzama;En la cota 941m que se alza sobre el km 31 del Puerto de Belate;Ulzama Belate;;611855;4766150;941;43.0398050383522,-1.62680912085135;lunes, 10 de febrero de 2442;Francisco Ondarra;"Conserva los suficientes rasgos definidos para considerarlo dolmen.
Las dos losas forman ángulo recto. No se distingue cámara.
Una losa orientada a 170º es la mayor, en posición N-S, que no es la cásica en estos monumentos (generalmente W-E). Medidas: alto 0,95m, ancho 0,30m en el centro, los extremos terminan en 0,03m de grosor.
La otra losa, orientada al N., mide: alto 0,52m, largo 0,95m, grueso 0,30m en el centro.
Dada la posición del conjunto en una loma que recibe constantemente fuerte viento, hace que el túmulo esté llano al W.
Con fecha 3 de octubre de 1987, un grupo de Gorosti le colocó un hito señalizador.";No se conoce;"Es anecdótico que el P. Ondarra cuando lo encontró vio entre la losas una botella de agua mineral de Belascoain, lo que no deja de ser curioso si lo recacionamos con el topónimo, que quiere decir ""piedra del riñón"". Cuando se consultado con las personas mayores sobre el mismo, éstas sonrien cuando se acuerdan del esfuerzo que tenían que soportar al ascender esta montaña transportando un paquete, donde hacía falta ""riñones"". Eran tiempos en los que la juventud se empleaba de ""paqueteros"", argot empleado en el ejercicio del contrabando.
Este topónimo también tiene otras acepciones como por ejemplo: Giltzurrin arri o Giltzurrien arrie, que significan lo mismo. Se ha respetado el que figura dado que el P. Ondarra, el cual pertenece a la Real Academia de la Lengua Vasca, Euskaltzaindia.";;Bloc 12. Atez Ulzama;Croquis;0026_DIB_22.pdf;Fotos;0026_FOT_23.pdf;;;;;;;;;;;;
27;ARTXAR;2;Túmulo;Arraiz;"En medio de un bosque de hayas y quejigos
Hoja cartográfica Nº: 90-15/C";Nº 8-E;;609880;4764465;750;43.0249240810563,-1.65138086851112;miércoles, 27 de agosto de 1975;Francisco Ondarra;"Túmulo circular de 8m ? y 1m en el punto más elevado al NE., compuesto de piedra recubierta de musgo, abunda la hojarasca. En el galgal crece un quejigo y dos hayas casi tangentes al mismo. En el cuadrante SW muy cerca del centro del conjunto, hay una piedra que tiene la figura de una cubo muy tosco.
Areniscas del terreno.
No ser puede hallar el cráter cental.";No se conoce;"En la revista Gure Mendiak del C.Deportivo Navarra Nº 75 de marzo de 1988, en la pag 48, Dólmenes Inéditos de la Ulzama y Basaburua, Patxi Ripa hace mención del mismo refiriéndose que desde que lo vio en compañía de Petete Sarobe el 5-2-84 y en otras ocasiones, examinando las piedras componen el conjunto les merece la calificación de Dolmen.

59-L1
Bibl. Revista Príncipe de Viana 144-145, año 1976. Nuevos monumentos megalíticos en Navarra.";;Bloc 12. Atez Ulzama;;;;;;;;;;;;;;;;
28;ZARDAI;1;Dolmen;;Long. 1º 59´ 03´´     Lat. 43º 02´ 10´´    Alt. 882;;;;;;;jueves, 29 de mayo de 1986;Miguel Ezcurdia;"El túmulo mide prox. 10m de ? al N-S, de unos 2m de alto y al S. 0,8m, de tierra y piedra.
Alturas: de la cámara 0,8m., del túmulo al S. 0,3m., de la losa de N-S 2m., del túmulo 0,6m.
Vimos que el dolmen tenía losa de cubierta sobre tres losas que forman la cámara sepulcral. Siete trozos de losas esparcidos por encima del túmulo. Se ve un pequeño cráter como de 3m de ? circundando la losa de cámara. Al parecer, la tierra y la tierra que le falta cubría la losa de la cámara.
Orientación E. a 295º.
La cámara bien formada queda abierta y como a 1m aprox. Hay un trozo cubierto que ha podido pertenecer a la cámara, en cuyo caso se trataría de un dolmen largo abierto.";;"Patxi Ripa en la revista Gure Mendiak Nº 75 de marzo de 1988 del C.D. Navarra lo sitúa en la hoja castastral Nº 90 - Sumbilla Long. 1º 59´ 03´´ Lat. 43º 02´ 10´´ Alt. 882 y lo detalla como un dolmen  integrado por las tres rocas que forman el nicho., sin piedra visible que pudiera corresponder a su cubierta, sito al pie de un espino albar, fecha 12-6-87. 
Si estamos hablando del mismo dolmen no cabe duda que del 25-5-86 al 12-6-87 este dolmen ha sufrido profanación, al faltarle la losa que cubría el recinto, la cubierta. 
En ambas reseñas, indican tres losas conformando el nicho o cámara sepulcral y en la primera había una losa de tapa.
Día 8-6-88 miércoles.
En compañía de Jesús Viana y de Josu fuimos por Santesteban a Mugako Soroa para ver los caminos. Llegamos a lo que nos pareció Mugako Soroa y Pixortar, viendo el dolmen de Patxi y otro más alto. Vimos después los embalses y volvimos a El Solano para visitar Zardai, comprobando en ¿dos pesade? que los dólmenes eran los mismos. Quedamos que Jesús Viana comprobaría si son o no los mismos. Y en vista de que llovía, volvimos, teniendo un accidente con el Suzuki al bajar la pista. Nos ayudaron de una casa de Elzaburu, a los que obsequiamos con dos botellas de champán (padre e hijo)";;Bloc 12. Atez Ulzama;Correciones y mapa;0028_TEX_24.pdf;;;;;;;;;;;;;;
